country,Total_Employment,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Anguilla,% share of total employment,80.6341,83.6139,88.6648,83.8875,77.6792,72.655,76.0864,66.7225,69.4279,59.772,65.6278,63.441,56.7176,52.1616,57.4036,61.5514,70.8517,57.8062,62.074,64.972,61.2115,60.7567,64.562,45.6421,51.0999,53.6816,56.4298,58.6352,60.4459,61.9697,63.5103,64.9355,66.5,67.7861,68.9525
Anguilla,Thousands of jobs,4.13706,4.71893,5.00399,4.73437,4.384,4.10044,4.2941,3.66771,4.02682,3.60323,4.10062,4.10356,3.79344,3.58262,4.01825,4.37882,5.09483,4.1959,4.53485,4.78077,4.53113,4.51995,4.78002,3.38734,3.80173,3.99987,4.2073,4.37217,4.50764,4.62173,4.73709,4.84378,4.96088,5.05723,5.14466
Anguilla,% growth,-13.2801,14.065,6.04078,-5.38815,-7.40064,-6.46798,4.72291,-14.5872,9.79103,-10.5191,13.8039,0.07,-7.55723,-5.55756,12.1596,8.9734,16.3515,-17.644,8.07807,5.42303,-5.22183,-0.246651,5.75381,-29.1355,12.2335,5.2119,5.18604,3.91848,3.09845,2.53118,2.49597,2.25222,2.4176,1.9421,1.72893
Antigua and Barbuda,% share of total employment,57.8446,60.4962,60.9129,56.2266,54.2798,52.74,52.3955,53.8423,53.9776,54.8017,50.8845,52.2349,51.1198,52.5025,55.0797,52.2762,51.5377,51.2799,50.3256,47.8547,46.8739,46.1661,42.5061,44.0774,44.6585,45.5609,46.2067,46.9042,47.7835,48.6772,49.0415,49.3323,49.6808,50.0883,50.3792
Antigua and Barbuda,Thousands of jobs,15.3057,16.5059,17.1107,16.4654,16.5689,16.6837,16.5574,17.0365,17.0966,17.5719,16.5148,17.1166,16.9111,17.5327,18.5656,17.7842,17.7345,17.8463,17.711,17.0285,16.8628,16.7599,15.5711,16.2917,16.6537,17.1405,17.5721,18.0291,18.5626,19.1091,19.4531,19.7234,20.0189,20.3404,20.6169
Antigua and Barbuda,% growth,-4.50995,7.84156,3.66411,-3.77168,0.628899,0.692841,-0.756989,2.89383,0.352562,2.78008,-6.01566,3.64343,-1.20056,3.6761,5.89135,-4.20896,-0.279495,0.630363,-0.758186,-3.85335,-0.973068,-0.610336,-7.09346,4.62839,2.22159,2.92294,2.51849,2.60057,2.95917,2.94393,1.80019,1.38973,1.49777,1.60639,1.35909
Aruba,% share of total employment,42.9209,60.7834,63.2433,66.5879,63.7851,66.1435,61.4602,61.3165,59.927,62.183,64.0282,63.9548,66.8717,68.9772,73.8806,79.9125,70.6149,83.7969,87.296,91.2746,90.4775,93.0397,94.7794,99.0511,97.8968,99.0071,98.3612,97.6275,97.0543,96.7255,96.0788,95.3445,96.0662,96.4888,97.2513
Aruba,Thousands of jobs,16.7072,24.2762,25.6405,27.3867,26.5965,27.7691,25.9054,25.9548,24.9761,27.0236,28.6129,28.4234,30.4407,31.4667,32.4728,35.0065,31.7019,37.5429,40.2017,42.3158,42.2718,43.4015,44.4434,46.8762,46.7089,47.5381,47.0395,46.5008,46.0402,45.6966,45.2038,44.4793,44.434,44.2458,44.2088
Aruba,% growth,9.79623,45.3038,5.61961,6.81045,-2.8854,4.40909,-6.71172,0.190674,-3.77077,8.19785,5.88146,-0.662323,7.09711,3.37062,3.19717,7.80263,-9.43988,18.4247,7.08201,5.25885,-0.104004,2.67252,2.40063,5.47392,-0.356926,1.7753,-1.04891,-1.14529,-0.99044,-0.746429,-1.07821,-1.60284,-0.101837,-0.4235,-0.08
Bahamas,% share of total employment,62.3707,64.9243,58.1201,50.5445,50.9117,52.0892,48.8627,48.9507,47.7335,50.2672,48.9436,47.3577,47.1344,45.781,45.742,46.7375,45.0668,48.0821,48.2244,48.3714,46.9984,46.9921,46.395,48.2082,48.071,48.5436,48.6306,48.6828,49.0762,49.5611,50.1899,50.9471,51.3365,51.4954,51.6222
Bahamas,Thousands of jobs,80.3873,84.4038,78.3199,71.011,73.0764,76.4498,74.2291,74.955,73.9252,80.9134,81.332,83.1412,84.7041,84.232,80.797,84.8667,83.2214,91.1899,90.9568,95.48,96.1008,96.5913,96.6823,101.838,102.505,104.305,105.206,105.919,107.319,108.827,110.61,112.688,113.964,114.734,115.437
Bahamas,% growth,5.27808,4.99637,-7.20802,-9.33212,2.9086,4.61613,-2.90474,0.977997,-1.37389,9.45295,0.517395,2.22443,1.87986,-0.557396,-4.07803,5.03697,-1.93864,9.57498,-0.255531,4.97282,0.650215,0.510429,0.09,5.33298,0.654266,1.7562,0.863823,0.678162,1.32132,1.40525,1.63837,1.8791,1.13214,0.675758,0.612083
Barbados,% share of total employment,37.7321,41.3964,40.5043,38.5651,35.3346,35.7451,34.889,33.9773,37.6014,36.6954,42.3596,49.6823,44.8551,46.0807,46.4014,39.4652,33.6876,29.6741,31.0755,31.8918,32.3499,34.2674,34.3118,34.8898,36.3772,37.8007,38.7019,39.4577,40.3046,41.2226,42.081,43.1599,44.3076,45.4113,46.4929
Barbados,Thousands of jobs,41.5611,47.4038,47.0984,46.0498,43.3739,44.8165,45.5807,43.583,48.5246,48.4321,56.5155,65.0574,59.6766,61.2058,59.6142,52.2764,45.1111,38.7183,40.8027,39.8,41.6036,45.3975,44.5773,45.6681,47.8293,49.8998,51.0787,52.0068,52.9433,53.8278,54.6225,55.7169,56.8214,57.8503,58.8325
Barbados,% growth,-2.0125,14.058,-0.644356,-2.22621,-5.81103,3.32607,1.70505,-4.38273,11.3383,-0.190666,16.6903,15.1143,-8.27087,2.56246,-2.60049,-12.3087,-13.7065,-14.1714,5.38366,-2.45752,4.53155,9.11918,-1.80676,2.44701,4.73251,4.32886,2.36261,1.81692,1.80069,1.67068,1.47652,2.00355,1.98235,1.81068,1.69777
Cayman Islands,% share of total employment,52.3582,45.2148,53.5713,45.6997,42.977,42.4204,42.1172,43.7873,37.8647,33.4963,20.8134,23.0788,21.815,21.9007,20.8044,22.7397,23.5374,28.213,28.8579,27.3831,29.2477,29.2637,30.0706,31.3262,31.8724,32.689,33.3329,33.95,34.7375,35.6836,36.731,37.6332,38.4303,39.1536,39.7431
Cayman Islands,Thousands of jobs,9.46219,8.63395,10.9728,9.9343,9.73461,9.93828,10.1251,11.119,10.0806,9.09728,5.85941,6.74779,6.48254,6.6765,6.36894,7.10374,7.46301,9.09656,9.43918,9.24925,10.0071,10.1757,10.5823,11.1447,11.4545,11.8431,12.161,12.4682,12.8413,13.2773,13.7563,14.1863,14.5815,14.953,15.2774
Cayman Islands,% growth,20.8731,-8.75316,27.0885,-9.46391,-2.01011,2.09222,1.88,9.81638,-9.33962,-9.75432,-35.5916,15.1617,-3.93105,2.9921,-4.60667,11.5373,5.05742,21.8887,3.7664,-2.01215,8.19344,1.68489,3.99562,5.315,2.78009,3.39205,2.68401,2.52656,2.99259,3.39502,3.60783,3.12578,2.78564,2.54804,2.16904
Cuba,% share of total employment,8.31441,9.21243,10.2161,11.5394,11.6437,10.8421,10.9827,10.9538,11.2042,11.2944,12.1873,10.3154,9.19194,9.9083,8.9671,8.53989,8.94828,9.10358,8.81094,8.16133,9.28455,9.30932,9.66774,9.79449,9.90428,10.0617,10.1807,10.2908,10.3706,10.4763,10.563,10.7137,10.8471,10.9832,11.1225
Cuba,Thousands of jobs,330.312,373.954,420.306,481.714,489.105,463.955,480.06,487.193,508.939,520.61,574.139,496.269,451.589,495.095,458.793,432.426,451.498,460.717,446.865,413.798,472.069,472.756,492.438,497.646,501.676,507.553,510.999,513.944,515.328,517.948,519.583,520.863,521.134,521.382,521.628
Cuba,% growth,10.6202,13.2125,12.3951,14.6103,1.53445,-5.14214,3.47131,1.48589,4.46343,2.29314,10.282,-13.563,-9.0031,9.63396,-7.33232,-5.74715,4.41062,2.04173,-3.0066,-7.39961,14.0819,0.145576,4.16311,1.05765,0.80986,1.17145,0.678894,0.576401,0.269173,0.508499,0.315666,0.246407,0.05,0.05,0.05
Dominican Republic,% share of total employment,14.6495,14.7803,15.938,15.9241,16.1173,16.5965,16.3494,16.8307,21.8132,20.4295,16.4226,17.2374,15.7644,15.7155,15.7996,13.2726,13.6875,14.4698,14.7631,14.63,15.3226,15.7471,16.0509,15.9646,15.7487,15.6637,15.5011,15.2986,15.1353,15.0147,14.9245,14.7722,14.6507,14.537,14.4111
Dominican Republic,Thousands of jobs,387.336,400.649,444.163,454.135,470.52,495.177,498.347,525.754,692.381,663.777,548.873,594.752,559.019,558.517,555.671,487.507,519.108,557.03,575.509,587.788,630.355,671.207,703.458,728.478,738.689,751.974,760.291,765.235,770.688,776.895,783.29,784.987,787.327,788.254,788.401
Dominican Republic,% growth,5.85556,3.43726,10.8608,2.24506,3.60796,5.24029,0.640297,5.49947,31.6931,-4.1313,-17.3107,8.3588,-6.00806,-0.09,-0.509682,-12.2669,6.48222,7.30524,3.31747,2.13351,7.24194,6.48081,4.80486,3.55676,1.40171,1.79834,1.10606,0.650337,0.71257,0.805374,0.823151,0.216675,0.298134,0.117729,0.02
Dominica,% share of total employment,27.2529,31.1876,36.5328,33.7515,35.3196,31.3511,28.443,29.9064,27.7478,30.1793,30.2625,32.8148,32.7837,31.4952,30.4867,35.9675,38.4897,30.4799,31.449,48.1482,46.1925,42.9131,41.693,30.592,34.6884,35.0439,36.409,37.7561,38.8168,39.6026,40.3243,41.2556,41.8931,42.3566,42.6802
Dominica,Thousands of jobs,9.6218,11.1566,13.1073,12.0147,12.4489,10.6806,9.8876,10.5035,9.83081,10.7852,10.9694,11.8946,11.8833,11.4163,11.0507,13.0374,13.9725,11.0869,11.4795,17.647,16.9286,15.7268,13.8788,9.98491,12.2024,12.8794,13.3915,13.8978,14.2994,14.6003,14.8779,15.2334,15.4808,15.6643,15.7962
Dominica,% growth,11.0199,15.9508,17.485,-8.33546,3.61381,-14.2044,-7.42484,6.22909,-6.40446,9.70836,1.70805,8.43378,-0.09,-3.93031,-3.20198,17.9775,7.1729,-20.6519,3.54091,53.7263,-4.07089,-7.09942,-11.7504,-28.0566,22.2087,5.54738,3.97684,3.78076,2.88943,2.104,1.90165,2.38917,1.62415,1.18507,0.842094
Grenada,% share of total employment,52.3392,54.2213,51.8008,46.0458,45.5207,43.0104,37.3222,42.5749,42.3264,37.1371,27.8668,34.6797,42.8702,39.2005,37.9857,37.364,34.7446,33.0216,32.3181,52.8519,48.5526,47.8706,50.9619,52.1873,51.6218,52.799,53.6313,54.6041,55.7912,57.1826,58.7387,60.3943,62.1518,63.9449,65.8411
Grenada,Thousands of jobs,17.7039,19.9301,19.638,17.6807,17.8393,17.1974,16.1174,17.7024,18.2331,16.298,12.4559,15.7962,19.8936,18.5279,18.2823,18.0426,17.0943,16.3129,16.2626,26.703,24.9817,24.918,26.633,27.375,27.1792,27.9022,28.4471,29.0703,29.812,30.6681,31.6188,32.6024,33.523,34.4612,35.4532
Grenada,% growth,2.81255,12.575,-1.46557,-9.96684,0.896706,-3.5982,-6.27975,9.83403,2.99773,-10.6133,-23.574,26.817,25.9395,-6.86512,-1.32568,-1.31102,-5.25609,-4.57095,-0.308174,64.1988,-6.44625,-0.255051,6.88265,2.78624,-0.715561,2.66028,1.95303,2.19046,2.5515,2.87179,3.09995,3.11063,2.82389,2.79861,2.87851
Guadeloupe,% share of total employment,12.9795,13.9989,12.9483,14.3258,12.1131,13.2045,12.0737,10.7691,8.66778,7.74083,7.24507,7.06902,7.23365,7.08685,6.25884,5.84441,6.20952,6.24762,6.54213,6.4783,6.45369,6.46892,6.61576,6.70872,6.98592,7.06982,7.12375,7.23049,7.40167,7.60179,7.76433,7.99754,8.17582,8.35634,8.48397
Guadeloupe,Thousands of jobs,13.966,15.3568,14.4244,16.2598,14.0027,15.4698,13.8425,12.9211,10.3733,9.51034,8.67811,8.34183,9.10162,9.02277,7.83708,7.30969,7.88864,7.90628,7.92462,8.03309,8.11904,8.21914,8.38048,8.49825,8.82284,8.86629,8.8982,8.96831,9.11636,9.29731,9.42963,9.60601,9.7514,9.85708,9.89754
Guadeloupe,% growth,56.5746,9.95889,-6.0714,12.7239,-13.8813,10.4772,-10.5191,-6.65656,-19.7181,-8.31899,-8.75081,-3.87506,9.10825,-0.866287,-13.1411,-6.7295,7.92039,0.223557,0.232018,1.36878,1.06994,1.23291,1.96297,1.40527,3.81943,0.492523,0.359901,0.787857,1.65085,1.98486,1.42324,1.87045,1.51353,1.08374,0.410507
Haiti,% share of total employment,5.57856,6.4787,6.53056,6.57831,5.75817,5.41337,4.74227,5.21916,5.14554,4.5986,3.57822,4.56478,4.67135,7.93337,8.25453,5.31804,6.33465,6.84175,7.30978,7.32751,8.89579,8.52312,7.09601,6.86108,7.18152,7.40032,7.51911,7.61155,7.65853,7.68278,7.73869,7.81616,7.85302,7.87474,7.86458
Haiti,Thousands of jobs,144.901,171.215,175.72,180.322,160.836,154.103,138.569,156.655,158.721,145.796,116.593,152.848,160.684,280.101,299.278,197.671,241.693,267.903,293.777,301.935,375.307,367.959,313.104,309.103,330.01,346.525,358.707,369.58,377.997,385.185,393.808,403.569,410.72,417.119,421.837
Haiti,% growth,217.659,18.1601,2.63133,2.61864,-10.8061,-4.18634,-10.0801,13.052,1.31876,-8.14352,-20.0301,31.0955,5.12689,74.3176,6.84653,-33.9505,22.2701,10.8441,9.65828,2.77673,24.3008,-1.95805,-14.9079,-1.27793,6.76373,5.00463,3.51533,3.03131,2.27735,1.90169,2.23859,2.47873,1.77194,1.55785,1.13104
Jamaica,% share of total employment,24.3366,23.4148,22.8528,24.2849,24.595,23.9079,22.8479,22.6739,24.1645,26.2875,25.707,26.1274,24.8364,23.5107,25.6221,25.3705,24.3232,23.1094,24.5968,27.1585,27.5347,28.3537,29.8899,30.8004,31.4724,32.0149,32.282,32.5891,33.039,33.5709,34.2271,34.8388,35.5677,36.1141,36.9369
Jamaica,Thousands of jobs,234.362,224.782,218.472,231.678,230.455,223.778,215.227,235.128,253.244,276.018,271.723,293.672,286.364,272.489,288.504,277.807,267.312,254.897,272.778,306.348,313.62,333.156,358.264,374.948,388.767,399.928,406.865,413.912,422.795,432.813,444.503,455.357,467.282,476.305,488.432
Jamaica,% growth,-1.51466,-4.08749,-2.80711,6.04472,-0.527962,-2.89729,-3.82118,9.24632,7.70469,8.99313,-1.55606,8.07764,-2.48849,-4.8453,5.87747,-3.7078,-3.77783,-4.64454,7.01518,12.3065,2.37387,6.22917,7.53645,4.65681,3.68563,2.87107,1.73441,1.73196,2.14619,2.3694,2.70101,2.44174,2.61885,1.93095,2.54618
Martinique,% share of total employment,10.9263,12.5673,13.9844,13.3274,13.3494,12.0909,10.1296,9.33367,7.58888,8.01928,8.12174,7.75619,7.4843,7.31774,7.1107,7.26299,8.34866,8.60804,9.39562,9.69408,9.57858,9.62887,9.78986,9.86986,10.0409,10.3435,10.6667,11.0013,11.4367,11.888,12.2378,12.7419,13.3132,13.8199,14.3557
Martinique,Thousands of jobs,12.2484,14.2764,16.0122,15.4598,15.6188,14.1549,12.3109,7.71641,9.71371,10.1744,10.6686,9.97452,9.5301,9.23749,9.15844,9.48854,11.167,11.2962,12.1555,12.6109,12.0874,12.2187,12.3526,12.4088,12.6515,13.0909,13.5321,13.9553,14.4697,14.9625,15.2819,15.7467,16.2457,16.6166,16.9922
Martinique,% growth,12380300,16.5574,12.1583,-3.44984,1.02885,-9.37267,-13.0275,-37.3205,25.8838,4.74255,4.8573,-6.50568,-4.45564,-3.07034,-0.855743,3.60434,17.6891,1.15713,7.60701,3.74625,-4.15128,1.08619,1.09589,0.455704,1.95577,3.47309,3.36964,3.12796,3.68569,3.40564,2.1349,3.0418,3.16846,2.28305,2.26034
"Bonaire, Sint Eustatius and Saba",% share of total employment,36.6752,26.663,35.6534,36.7219,29.9187,26.5529,25.2724,29.529,32.4746,32.4888,32.5697,30.1414,28.2722,29.4627,27.6671,25.6847,28.7473,34.7943,39.5179,42.235,40.2155,39.129,40.4624,41.8151,41.2148,41.5694,42.0103,41.9407,41.855,41.785,41.9776,42.6604,43.1855,43.7674,44.3835
"Bonaire, Sint Eustatius and Saba",Thousands of jobs,19.8046,15.1979,19.6094,18.7282,15.1089,13.2765,12.1308,14.4692,16.8868,16.5693,16.6105,15.6736,15.267,16.7937,15.7702,14.838,16.6846,20.4533,23.3843,24.6607,23.9668,23.1294,23.9352,25.1022,25.6607,26.5333,27.093,27.3005,27.3561,27.3583,27.4812,27.8742,28.1304,28.4215,28.7323
"Bonaire, Sint Eustatius and Saba",% growth,0.878372,-23.2607,29.0268,-4.49393,-19.325,-12.1284,-8.6296,19.2768,16.7087,-1.8803,0.248894,-5.64087,-2.59396,10.0002,-6.09449,-5.91142,12.4449,22.5881,14.3303,5.45833,-2.81356,-3.49438,3.484,4.87563,2.22515,3.40044,2.10949,0.76561,0.203911,0.01,0.448952,1.43028,0.91925,1.03461,1.0937
Puerto Rico,% share of total employment,6.16344,6.65528,6.96142,7.31914,7.01199,5.59406,5.60749,5.46697,5.60136,6.30037,6.57165,6.06094,5.35225,6.21625,5.04173,4.66476,5.13736,5.29993,5.67093,5.33082,5.99036,5.74325,5.8188,5.80986,5.93732,6.07787,6.21081,6.35738,6.50698,6.66887,6.85655,7.0544,7.25198,7.46179,7.65234
Puerto Rico,Thousands of jobs,66.3285,73.9454,78.8231,83.192,80.1191,64.9754,63.2457,63.3358,66.347,75.8702,80.3243,77.0285,67.7065,74.7964,57.6944,50.1716,53.5986,54.2916,57.4023,52.6591,58.5937,56.9874,57.5456,56.6461,58.118,59.2857,60.3703,61.5787,62.8072,64.1445,65.7188,67.3791,68.9888,70.6993,72.2121
Puerto Rico,% growth,-3.58324,11.4836,6.59639,5.54269,-3.69374,-18.9015,-2.66216,0.142563,4.75426,14.3536,5.87078,-4.1032,-12.102,10.4715,-22.8647,-13.039,6.83051,1.29298,5.72952,-8.263,11.2698,-2.74145,0.979637,-1.56316,2.59849,2.00903,1.82955,2.00162,1.99493,2.12933,2.45433,2.52637,2.38902,2.47929,2.13982
